FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
14-Sep-2023 12:01:00,0,1234,0,84,0,0,0,0,0,0,8,45,0,0,0,0
15-Sep-2023 06:00:01,0,1228,0,90,0,0,0,0,0,0,8,45,0,0,0,0
16-Sep-2023 06:00:01,0,1228,0,90,0,0,0,0,0,0,8,45,0,0,0,0
17-Sep-2023 06:00:02,0,1228,0,90,0,0,0,0,0,0,8,45,0,0,0,0
18-Sep-2023 06:00:01,0,1228,0,90,0,0,0,0,0,0,8,45,0,0,0,0
19-Sep-2023 06:00:01,0,1227,0,90,0,0,0,0,0,0,8,45,0,0,0,0
20-Sep-2023 06:00:01,1223,0,0,91,0,0,0,0,0,0,8,45,0,0,0,0
21-Sep-2023 06:00:02,1222,0,0,92,0,0,0,0,0,0,8,45,0,0,0,0
22-Sep-2023 06:00:01,1264,0,0,103,0,0,0,0,0,0,8,46,0,0,0,0
23-Sep-2023 06:00:01,1272,0,0,107,0,44,0,0,0,44,8,47,0,0,0,0
24-Sep-2023 06:00:01,1272,0,0,107,0,44,0,0,0,44,8,47,0,0,0,0
25-Sep-2023 06:00:02,1272,0,0,107,0,44,0,0,0,44,8,47,0,0,0,0
26-Sep-2023 06:00:01,1265,0,0,111,3,74,0,0,3,77,8,47,0,0,0,0
27-Sep-2023 06:00:01,1230,0,0,125,10,86,0,0,10,96,7,47,0,0,0,0
28-Sep-2023 06:00:01,1255,0,0,125,21,115,0,0,21,136,8,47,0,0,0,0
29-Sep-2023 06:00:02,1201,0,0,126,71,138,0,0,71,209,8,47,0,0,0,0
30-Sep-2023 06:00:01,1199,0,0,129,77,179,0,0,77,256,10,47,0,2,0,0
02-Oct-2023 06:00:01,1199,0,0,129,77,179,0,0,77,256,10,47,0,2,0,0
03-Oct-2023 06:00:02,1132,0,0,129,141,207,0,0,141,348,10,47,0,2,0,0
04-Oct-2023 06:00:01,1093,0,0,132,175,243,0,0,175,418,10,47,0,2,0,0
05-Oct-2023 14:00:01,1064,0,0,133,211,243,0,0,211,454,10,47,0,2,0,0
05-Oct-2023 22:00:01,1230,0,0,125,10,86,0,0,10,96,7,47,0,0,0,0
06-Oct-2023 06:00:01,1093,0,0,132,175,243,0,0,175,418,10,47,0,2,0,0
06-Oct-2023 14:00:02,1038,0,0,133,235,300,0,0,235,535,11,47,0,3,0,0
07-Oct-2023 06:00:01,1014,0,0,133,255,325,0,0,255,580,11,48,0,3,1,0
08-Oct-2023 06:00:01,1014,0,0,133,255,325,0,0,255,580,11,48,0,3,1,0
09-Oct-2023 06:00:02,1014,0,0,133,255,325,0,0,255,580,11,48,0,3,1,0
10-Oct-2023 06:00:02,1000,0,0,133,269,356,0,0,269,625,11,48,0,3,1,0
11-Oct-2023 06:00:01,998,0,0,137,281,392,0,0,281,673,11,48,0,3,2,0
12-Oct-2023 06:00:01,973,0,0,138,301,422,0,0,301,723,11,48,0,3,2,0
13-Oct-2023 06:00:02,968,0,0,140,313,452,0,0,313,765,11,48,0,3,2,0
14-Oct-2023 06:00:02,925,0,0,140,356,495,0,0,356,851,11,48,0,3,3,0
15-Oct-2023 06:00:01,925,0,0,140,356,495,0,0,356,851,11,48,0,3,3,0
16-Oct-2023 06:00:01,925,0,0,140,356,495,0,0,356,851,11,48,0,3,3,0
17-Oct-2023 06:00:01,918,0,0,142,372,533,0,0,372,905,11,48,0,3,3,0
18-Oct-2023 06:00:02,902,0,0,142,395,533,0,0,395,928,11,48,0,3,3,0
19-Oct-2023 06:00:01,865,0,0,144,434,627,0,0,434,1061,11,50,0,3,5,0
20-Oct-2023 06:00:01,858,0,0,145,443,661,0,0,443,1104,12,50,0,4,5,0
21-Oct-2023 06:00:02,830,0,0,148,474,738,0,0,474,1212,12,50,0,4,5,0
22-Oct-2023 06:00:02,830,0,0,148,474,738,0,0,474,1212,12,50,0,4,5,0
23-Oct-2023 06:00:01,830,0,0,148,474,738,0,0,474,1212,12,50,0,4,5,0
24-Oct-2023 06:00:01,824,0,0,150,490,789,0,0,490,1279,12,50,0,4,5,0
25-Oct-2023 06:00:01,788,0,0,151,530,840,0,0,530,1370,12,50,0,5,5,0
26-Oct-2023 06:00:02,786,0,0,154,536,893,0,0,536,1429,12,50,0,5,5,0
27-Oct-2023 06:00:01,777,0,2,155,554,941,0,0,554,1497,12,50,0,5,5,0
28-Oct-2023 06:00:01,768,0,2,159,577,1006,0,0,577,1585,12,50,0,5,6,0
29-Oct-2023 06:00:01,764,0,6,160,587,1130,0,0,587,1723,12,52,0,5,6,0
30-Oct-2023 06:00:02,764,0,6,160,587,1130,0,0,587,1723,12,52,0,5,6,0
31-Oct-2023 06:00:01,734,0,6,161,615,1228,0,0,615,1849,12,52,0,5,7,0
01-Nov-2023 06:00:01,695,0,6,161,653,1307,0,0,653,1966,12,52,0,5,7,0
02-Nov-2023 06:00:01,686,0,6,162,465,1393,198,0,663,2062,12,52,0,5,9,0
03-Nov-2023 06:00:01,665,0,7,164,105,1498,577,0,682,2187,12,52,0,5,9,0
04-Nov-2023 06:00:01,632,0,9,166,135,1699,579,0,714,2422,12,53,0,5,11,0
05-Nov-2023 06:00:01,623,0,12,167,20,1977,703,0,723,2712,14,53,0,7,11,0
06-Nov-2023 06:00:01,623,0,12,167,20,1977,703,0,723,2712,14,53,0,7,11,0
07-Nov-2023 06:00:01,574,0,12,167,69,1977,703,0,772,2761,14,53,0,7,11,0
08-Nov-2023 06:00:01,428,0,12,167,209,1977,703,0,912,2901,14,53,0,7,11,0
09-Nov-2023 06:00:02,428,0,12,167,209,1977,703,0,912,2901,14,53,0,7,11,0
10-Nov-2023 06:00:01,378,0,12,167,258,1977,703,0,961,2950,14,53,0,7,13,0
