FILEDATE,ISSUED,NOT_ISSUED,PROVISIONAL,DELETED,MARKED,ON_MACHINE,PRE_PROCESSED,FWAB,MAIL_IN,COUNTABLE,MILITARY,OVERSEAS,TEMPORARY,MILITARY_COUNTABLE,OVERSEAS_COUNTABLE,TEMPORARY_COUNTABLE
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
14-Sep-2023 12:01:00,8052,0,0,268,0,0,0,0,0,0,107,436,1,0,0,0
15-Sep-2023 06:00:01,8052,0,0,269,0,0,0,0,0,0,108,436,1,0,0,0
16-Sep-2023 06:00:01,8061,0,0,271,0,0,0,0,0,0,109,437,1,0,0,0
17-Sep-2023 06:00:02,8061,0,0,271,0,0,0,0,0,0,109,437,1,0,0,0
18-Sep-2023 06:00:01,8061,0,0,271,0,0,0,0,0,0,109,437,1,0,0,0
19-Sep-2023 06:00:01,8079,0,0,279,0,0,0,0,0,0,109,439,1,0,0,0
20-Sep-2023 06:00:01,8095,0,0,282,0,0,0,0,0,0,109,440,1,0,0,0
21-Sep-2023 06:00:02,8094,0,0,285,0,0,0,0,0,0,109,440,1,0,0,0
22-Sep-2023 06:00:01,8142,0,0,294,0,0,0,0,0,0,110,445,1,0,0,0
23-Sep-2023 06:00:01,8168,0,0,308,0,132,0,0,0,132,114,448,1,3,0,0
24-Sep-2023 06:00:01,8168,0,0,308,0,132,0,0,0,132,114,448,1,3,0,0
25-Sep-2023 06:00:02,8168,0,0,308,0,132,0,0,0,132,114,448,1,3,0,0
26-Sep-2023 06:00:01,8217,0,0,313,1,204,0,0,1,205,114,452,1,4,0,0
27-Sep-2023 06:00:01,8127,0,0,415,2,253,0,0,2,255,114,452,1,4,0,0
28-Sep-2023 06:00:01,8247,0,0,420,15,306,0,0,15,321,116,462,1,6,2,0
29-Sep-2023 06:00:02,8064,0,0,421,34,363,0,0,34,397,116,463,1,7,3,0
30-Sep-2023 06:00:01,7656,0,0,421,375,363,0,0,375,738,116,465,1,7,3,0
02-Oct-2023 06:00:01,7629,0,0,421,402,363,0,0,402,765,116,465,1,7,3,0
03-Oct-2023 06:00:02,7644,0,0,442,413,447,27,0,440,887,117,466,1,7,3,0
04-Oct-2023 06:00:01,6913,0,0,448,1173,518,0,0,1173,1691,117,467,1,9,10,0
05-Oct-2023 14:00:01,6915,0,0,456,1201,518,0,0,1201,1719,117,467,1,10,12,0
05-Oct-2023 22:00:01,8127,0,0,415,2,253,0,0,2,255,114,452,1,4,0,0
06-Oct-2023 06:00:01,6913,0,0,448,1173,518,0,0,1173,1691,117,467,1,9,10,0
06-Oct-2023 14:00:02,6477,0,0,462,1653,710,0,0,1653,2363,117,468,1,11,13,0
07-Oct-2023 06:00:01,6060,0,0,469,2049,808,0,0,2049,2857,117,469,1,11,19,0
08-Oct-2023 06:00:01,6050,0,0,469,2059,808,0,0,2059,2867,117,469,1,11,19,0
09-Oct-2023 06:00:02,6038,0,0,469,2071,808,0,0,2071,2879,117,469,1,11,19,0
10-Oct-2023 06:00:02,6032,0,0,471,2075,808,0,0,2075,2883,117,469,1,11,19,0
11-Oct-2023 06:00:01,6106,0,0,478,2099,905,0,0,2099,3004,118,471,1,12,21,0
12-Oct-2023 06:00:01,5790,0,0,489,2500,1072,0,0,2500,3572,119,470,1,19,32,0
13-Oct-2023 06:00:02,5908,1,0,491,2521,1206,0,0,2521,3727,119,471,1,20,36,0
14-Oct-2023 06:00:02,5708,0,0,503,2825,1372,0,0,2825,4197,123,475,1,25,37,0
15-Oct-2023 06:00:01,5700,0,0,503,2833,1372,0,0,2833,4205,123,475,1,25,37,0
16-Oct-2023 06:00:01,5698,0,0,505,2834,1372,0,0,2834,4206,123,475,1,25,37,0
